"Time","ABP","ECG","PPG"
48959.7997,50.83509,NA,NA
48959.8047,50.82875,127.31845,0.009849288
48959.8097,50.81608,126.423749999901,0.01110056
48959.8147,50.81608,125.221749998112,0.009849288
48959.8197,50.82875,123.9309,0.010474924
48959.8247,50.80974,122.995200000497,0.009849288
48959.8297,50.80974,125.843250001938,0.00922365099544789
48959.8347,50.8414300000923,129.428800007355,0.009849288
48959.8397,50.8541099999539,133.417400001292,0.00922365100455211
48959.8447,49.7258,135.16585,0.010474927
48959.8497,49.0348599987086,134.079899997317,0.0104749240091042
48959.8547,48.85737,132.81634999841,0.01110056
48959.8597,48.8447,130.52845,0.009849288
48959.8647,48.8510400000461,128.909799998112,0.009849288
48959.8697,48.86371,127.748749999602,0.009849288
48959.8747,48.8447,126.67645,0.009223651
48959.8797,48.8320200000461,126.744749999354,0.00922365100455211
48959.8847,48.86371,126.362250000745,0.00922365100455211
48959.8897,48.88273,126.57405,0.011100564
48959.8947,48.86371,126.649100000348,0.0104749240045521
48959.8997,48.86371,126.2052,0.0104749240045521
48959.9047,47.7227199973711,126.813049999702,0.00984928701820842
48959.9097,47.0000899987547,126.594500000646,0.01110056
48959.9147,46.84162,126.56715,0.009223651
48959.9197,46.8542999999539,126.526200000895,0.00797237699089578
48959.9247,46.83528,126.027649999901,0.009849288
48959.9297,46.82894,126.44425,0.010474924
48959.9347,46.8543000001384,126.273500000597,0.009849288
48959.9397,46.87966,126.355449999205,0.0117262000045521
48959.9447,46.86698,126.5057,0.01110056
48959.9497,46.8669799999539,126.082249999602,0.0104749240045521
48959.9547,46.84796,126.355449999801,0.0111005640091042
48959.9597,45.7323299974633,126.007150000894,0.0111005640182085
48959.9647,45.066749998847,126.007149999056,0.009849288
48959.9697,44.93363,126.15055,0.009223651
48959.9747,44.9146099999539,125.686149999404,0.01110056
48959.9797,44.90194,126.054949999901,0.01110056
48959.9847,44.92729,125.8637,0.009849288
48959.9897,44.9463099999539,125.931999999304,0.01110056
48959.9947,44.93363,125.938850000646,0.0104749240045521
48959.9997,44.94631,125.59055,0.010474924
48960.0047,44.92095,125.931999999801,0.01110056
48960.0097,44.90194,125.426650000596,0.0104749240045521
48960.0147,43.79264,125.5632,0.01110056
48960.0197,43.1017099988008,125.713450000696,0.01110056
48960.0247,42.91788,125.160249999851,0.009849288
48960.0297,42.91154,125.611049999503,0.00922365100910422
48960.0347,42.9369000000922,125.371950000596,0.009849288
48960.0397,42.94324,125.41295,0.009849288
48960.0447,43.279190006088,125.331000000994,0.0123518350182084
48960.0497,44.94631,124.941699999851,0.0104749239954479
48960.0547,44.92729,125.3993,0.01110056
48960.0597,46.8352799999539,125.037350000447,0.0104749239954479
48960.0647,47.18392,125.071449999205,0.0104749269863437
48960.0697,49.20601,125.1056,0.009849288
48960.0747,51.1647100060419,124.873450000248,0.0104749239954479
48960.0797,54.64474,125.412949999702,0.009849288
48960.0847,57.1295600061341,125.296850001491,0.0104749239908958
48960.0897,59.950350004981,125.549549999503,0.00922365099544789
48960.0947,63.05004,126.00715,0.011100564
48960.0997,65.8898400047505,125.945700000597,0.0117261999908957
48960.1047,68.54582,126.655949999702,0.0104749240045521
48960.1097,70.94824,126.58085,0.0117262
48960.1147,72.9449700060419,126.833499999503,0.0104749240045521
48960.1197,75.77209,127.113550000745,0.0104749239954479
48960.1247,77.71178,126.7584,0.009849288
48960.1297,79.683160004935,127.140849999553,0.01110056
48960.1347,80.5389,126.751550000398,0.0104749269863437
48960.1397,82.50394,126.7994,0.0117262
48960.1447,84.4816600000461,127.188700000994,0.0117261999954479
48960.1497,84.50702,127.017950000248,0.0111005640091042
48960.1547,86.4467,127.612099999603,0.0129774749908958
48960.1597,86.42769,127.093100000199,0.0104749240045521
48960.1647,86.4467,127.0384,0.01110056
48960.1697,88.44344,127.181850000894,0.008598014
48960.1747,88.43076,126.649099999851,0.00922365100455211
48960.1797,88.43076,127.04525,0.010474924
48960.1847,88.4561200001383,126.737900000199,0.0104749269863437
48960.1897,88.46879,126.922299999652,0.00922365099544789
48960.1947,88.44978,127.12035,0.012977475
48960.1997,88.4624499999078,126.683299999702,0.01235184
48960.2047,87.34048,126.983799999702,0.01110056
